delegacia_xlsx_name
01ª DDM CENTRO
DEL.POL.GUARANTÃ
DEL.POL.GUARAREMA
DEL.POL.GUAREI
DEL.POL.GUARIBA
DEL.POL.GUARUJA
DEL.POL.GUARÁ
DEL.POL.HORTOLÂNDIA
DEL.POL.IACANGA
DEL.POL.IBATÉ
DEL.POL.IBITINGA
DEL.POL.IBIÚNA
DEL.POL.IGARAPAVA
DEL.POL.IGARATA
DEL.POL.IGUAPE
DEL.POL.ILHA COMPRIDA
DEL.POL.ILHABELA
DEL.POL.INDAIATUBA
DEL.POL.IPERÓ
DEL.POL.ITAJOBI
DEL.POL.ITAPECERICA DA SERRA
DEL.POL.ITAPEVI
DEL.POL.ITAPIRA
DEL.POL.ITAPORANGA
DEL.POL.ITAQUAQUECETUBA
DEL.POL.ITARIRI
DEL.POL.ITATIBA
DEL.POL.ITAÍ
DEL.POL.ITIRAPINA
DEL.POL.ITUPEVA
DEL.POL.ITUVERAVA
DEL.POL.JABOTICABAL
DEL.POL.JACI
DEL.POL.JAGUARIUNA
DEL.POL.JAMBEIRO
DEL.POL.JANDIRA
DEL.POL.JARDINOPOLIS
DEL.POL.JARINU
DEL.POL.JOANÓPOLIS
DEL.POL.JUQUIA
DEL.POL.JUQUITIBA
DEL.POL.LARANJAL PAULISTA
DEL.POL.LAVRINHAS
DEL.POL.LORENA
DEL.POL.LOUVEIRA
DEL.POL.LUCELIA
DEL.POL.MAIRINQUE
DEL.POL.MAIRIPORÃ
DEL.POL.MARTINOPOLIS
DEL.POL.MATÃO
DEL.POL.METROPOLITANO
DEL.POL.MIGUELOPOLIS
DEL.POL.MIRACATU
DEL.POL.MIRANDOPOLIS
DEL.POL.MOCOCA
DEL.POL.MOGI-MIRIM
DEL.POL.MONGAGUA
DEL.POL.MONTE MOR
DEL.POL.MONTEIRO LOBATO
DEL.POL.MORRO AGUDO
DEL.POL.NAZARE PAULISTA
DEL.POL.NOVA CAMPINA
DEL.POL.NOVA GRANADA
DEL.POL.NOVA ODESSA
DEL.POL.NOVO HORIZONTE
DEL.POL.OLIMPIA
DEL.POL.ORLANDIA
DEL.POL.OSVALDO CRUZ
DEL.POL.OUROESTE
DEL.POL.PARAIBUNA
DEL.POL.PARANAPANEMA
DEL.POL.PARDINHO
DEL.POL.PARIQUERA ACU
DEL.POL.PAULINIA
DEL.POL.PEDERNEIRAS
DEL.POL.PEDREIRA
DEL.POL.PERUIBE
DEL.POL.PIEDADE
DEL.POL.PILAR DO SUL
DEL.POL.PINDAMONHANGABA
DEL.POL.PINHALZINHO
DEL.POL.PIRACAIA
DEL.POL.PIRAJU
DEL.POL.PIRATININGA
DEL.POL.POA
DEL.POL.PONTAL
DEL.POL.PONTES GESTAL
DEL.POL.PORANGABA
DEL.POL.PORTO FELIZ
DEL.POL.PORTO FERREIRA
DEL.POL.PRATÂNIA
DEL.POL.PROMISSAO
DEL.POL.QUADRA
DEL.POL.QUELUZ
DEL.POL.RIFAINA
DEL.POL.RINCÃO
DEL.POL.RIO DAS PEDRAS
DEL.POL.RIO GRANDE DA SERRA
DEL.POL.ROSEIRA
DEL.POL.RPIRES DR.EVANDRO LIMA
DEL.POL.RUBINEIA
DEL.POL.S.ANTONIO DO PINHAL
DEL.POL.S.BARBARA DOESTE
DEL.POL.S.BENTO DO SAPUCAI
DEL.POL.S.BRANCA
DEL.POL.S.CRUZ DA CONCEIÇÃO
DEL.POL.S.CRUZ DAS PALMEIRAS
DEL.POL.S.CRUZ DO RIO PARDO
DEL.POL.S.J.DO RIO PARDO
DEL.POL.S.JOSE DA BELA VISTA
DEL.POL.S.LOURENÇO DA SERRA
DEL.POL.S.PEDRO
DEL.POL.S.SIMAO
DEL.POL.S.VICENTE
DEL.POL.SALES OLIVEIRA
DEL.POL.SALESOPOLIS
DEL.POL.SALTO
DEL.POL.SALTO DE PIRAPORA
DEL.POL.SALTO GRANDE
DEL.POL.SANTA ADELIA
DEL.POL.SANTA ALBERTINA
DEL.POL.SANTA GERTRUDES
DEL.POL.SANTANA DE PARNAIBA
DEL.POL.SANTO ANTONIO DE POSSE
DEL.POL.SARAPUI
DEL.POL.SERRA AZUL
DEL.POL.SERRA NEGRA
DEL.POL.SERTÃOZINHO
DEL.POL.SETE BARRAS
DEL.POL.SOCORRO
DEL.POL.STA ISABEL
DEL.POL.STA RITA PASSA QUATRO
DEL.POL.SUZANO
DEL.POL.SÃO MANUEL
DEL.POL.SÃO MIGUEL ARCANJO
DEL.POL.SÃO ROQUE
DEL.POL.TACIBA
DEL.POL.TANABI
DEL.POL.TAPIRAI
DEL.POL.TAPIRATIBA
DEL.POL.TAQUARITINGA
DEL.POL.TAQUARITUBA
DEL.POL.TAQUARIVAI
DEL.POL.TATUI
DEL.POL.TIETÊ
DEL.POL.TREMEMBE
DEL.POL.TUIUTI
DEL.POL.UBATUBA
DEL.POL.UCHOA
DEL.POL.VALINHOS
DEL.POL.VARGEM
DEL.POL.VARGEM GRANDE PTA
DEL.POL.VARZEA PAULISTA
DEL.POL.VINHEDO
DEL.POL.VITORIA BRASIL
DEL.POL.VOTORANTIM
DEL.POL.ZACARIAS
DEL.SEC.8ª SÃO MATEUS
DOPE - 01ª DP DEATUR CAPITAL
DOPE - 02ª DP DEATUR CONGONHAS
DOPE - 05ª DP PORTO DE SANTOS
